2016-11-10,Elle King,Alternative,House of Blues,Orlando,7:00 PM,25.00 
2016-11-12,Street Light Manifesto,Alternative,House of Blues,Orlando,7:00 PM,19.00 
2016-11-22,Yellowcard,Rock,House of Blues,Orlando,7:00 PM,27.00 
2016-11-23,Yellowcard,Rock,House of Blues,Orlando,7:00 PM,27.00 
2017-01-09,Lukas Graham,Pop,House of Blues,Orlando,7:00 PM,27.95 
2017-02-09,Aaron Lewis,Country,House of Blues,Orlando,7:00 PM,31.00 
2016-08-13,Ray LaMontagne,Rock,The Fillmore,Miami,8:00 PM,42.50 
2016-08-20,Orishas,Rap,The Fillmore,Miami,8:00 PM,48.75 
2016-08-30,Jill Scott,R&B/Soul,The Fillmore,Miami,8:00 PM,65.50 
2016-09-08,Julieta Venegas,Pop,The Fillmore,Miami,8:00 PM,43.50 
2016-09-09,FLUME,Electronic,The Fillmore,Miami,8:00 PM,30.00 
2016-09-10,FLUME,Electronic,The Fillmore,Miami,8:00 PM,30.00 
2016-09-13,Leon Bridges,R&B/Soul,The Fillmore,Miami,8:00 PM,37.50 
2016-09-15,Draco Rosa,Pop,The Fillmore,Miami,8:00 PM,43.50 
2016-09-17,Pablo Milanes,Jazz,The Fillmore,Miami,8:00 PM,68.75 
2016-09-20,IL Divo,Pop,The Fillmore,Miami,8:00 PM,59.50 
2016-09-21,James Bay,Pop,The Fillmore,Miami,8:00 PM,29.50 
2016-09-25,Gov't Mule,Rock,The Fillmore,Miami,8:00 PM,38.50 
2016-09-28,Slayer,Metal,The Fillmore,Miami,7:40 PM,48.50 
2016-09-28,Anthrax,Rock,The Fillmore,Miami,7:40 PM,48.50 
2016-10-04,Charlie Puth,Pop,The Fillmore,Miami,8:00 PM,26.00 
2016-10-08,Concha Buika,Electronic,The Fillmore,Miami,8:00 PM,48.75 
2016-10-10,Chance the Rapper,Rap,The Fillmore,Miami,8:00 PM,48.50 
2016-10-15,Delirio,Alternative,The Fillmore,Miami,6:30 PM,58.75 
2016-10-28,Alessia Cara,Pop,The Fillmore,Miami,7:30 PM,37.50 
2016-10-29,Diego El Cigala,Pop,The Fillmore,Miami,8:00 PM,39.00 
2016-11-02,Puscifer,Alternative,The Fillmore,Miami,8:30 PM,38.50 
2016-11-03,GHOST,Metal,The Fillmore,Miami,8:00 PM,27.50 
2016-11-10,Animal Collective,Alternative,The Fillmore,Miami,8:30 PM,28.50 
2016-11-16,Pet Shop Boys,Electronic,The Fillmore,Miami,9:00 PM,49.50 
2016-08-06,Daddy Yankee,Rap,American Airlines Arena,Miami,8:00 PM,59.00 
2016-08-06,Don Omar,Rap,American Airlines Arena,Miami,8:00 PM,59.00 
2016-08-30,Drake,Rap,American Airlines Arena,Miami,6:30 PM,65.00 
2016-08-30,Future,Rap,American Airlines Arena,Miami,6:30 PM,65.00 
2016-08-31,Drake,Rap,American Airlines Arena,Miami,6:30 PM,65.00 
2016-08-31,Future,Rap,American Airlines Arena,Miami,6:30 PM,65.00 
2016-09-07,Maroon 5,Pop,American Airlines Arena,Miami,7:30 PM,45.00 
2016-09-16,Kanye West,Rap,American Airlines Arena,Miami,8:00 PM,75.00 
2016-09-17,Kanye West,Rap,American Airlines Arena,Miami,8:00 PM,75.00 
2016-10-09,Sin Bandera,Pop,American Airlines Arena,Miami,8:00 PM,38.00 
2016-10-25,Adele,Pop,American Airlines Arena,Miami,7:30 PM,86.50 
2016-10-26,Adele,Pop,American Airlines Arena,Miami,7:30 PM,86.50 
2016-10-29,MANÁ,Rock,American Airlines Arena,Miami,8:00 PM,81.00 
2016-11-18,Marc Anthony,Pop,American Airlines Arena,Miami,8:00 PM,121.00 
2016-08-07,Daddy Yankee,Rap,Amway Center,Orlando,8:00 PM,59.00 
2016-08-07,Don Omar,Rap,Amway Center,Orlando,8:00 PM,59.00 
2016-09-09,Maroon 5,Pop,Amway Center,Orlando,7:30 PM,78.50 
2016-08-10,You Vandal,Rock,High Dive,Gainesville,8:00 PM,6.00 
2016-08-18,Bit Brigade,Rock,High Dive,Gainesville,8:00 PM,8.00 
2016-08-19,Captive Eddies,Pop,High Dive,Gainesville,9:00 PM,8.00 
2016-09-02,Less Than Jake,Rock,High Dive,Gainesville,6:00 PM,15.00 
2016-09-03,Less Than Jake,Rock,High Dive,Gainesville,6:00 PM,15.00 
2016-09-14,The Oh Hellos,Pop,High Dive,Gainesville,8:00 PM,15.00 
2016-09-16,Ballyhoo!,Alternative,High Dive,Gainesville,8:00 PM,12.00 
2016-09-16,Bumpin' Uglies,Reggae,High Dive,Gainesville,8:00 PM,12.00 
2016-09-16,Sun-Dried Vibes,Reggae,High Dive,Gainesville,8:00 PM,12.00 
2016-10-04,The Main Squeeze,Rock,High Dive,Gainesville,8:00 PM,12.00 
2016-08-15,UB40,Reggae,Pompano Beach Amphitheatre,Ft. Lauderdale,8:00 PM,42.00 
2016-09-30,Alien Ant Farm,Rock,Pompano Beach Amphitheatre,Ft. Lauderdale,8:00 PM,35.00 
2016-09-30,Trapt,Rock,Pompano Beach Amphitheatre,Ft. Lauderdale,8:00 PM,35.00 
2016-09-30,Saliva,Rock,Pompano Beach Amphitheatre,Ft. Lauderdale,8:00 PM,35.00 
2016-10-14,NEEDTOBREATHE,Pop,Pompano Beach Amphitheatre,Ft. Lauderdale,7:00 PM,40.00 
2016-10-14,Parachute,Pop,Pompano Beach Amphitheatre,Ft. Lauderdale,7:00 PM,40.00 
2016-10-15,Montgomery Gentry,Country,Pompano Beach Amphitheatre,Ft. Lauderdale,7:00 PM,56.00 
2016-10-29,Peter Cetera,Classic Rock,Pompano Beach Amphitheatre,Ft. Lauderdale,8:00 PM,60.00 
2016-11-30,Fred Hammond,R&B/Soul,Pompano Beach Amphitheatre,Ft. Lauderdale,7:30 PM,45.00 
2016-12-02,Boyz II Men,Pop,Pompano Beach Amphitheatre,Ft. Lauderdale,7:30 PM,70.00 
2016-08-08,US The Duo,Pop,Culture Room,Ft. Lauderdale,7:00 PM,18.00 
2016-08-12,Motion City Soundtrack,Alternative,Culture Room,Ft. Lauderdale,7:30 PM,25.00 
2016-08-13,Jacob Whitesides,Pop,Culture Room,Ft. Lauderdale,7:00 PM,12.00 
2016-09-02,Marduk,Metal,Culture Room,Ft. Lauderdale,7:00 PM,20.00 
